大區代碼 (Region),國家 (Country),城市/市鎮 (City),城市等級 (Tier),行政類型 (Type),"辨識關鍵字 (Keywords,逗號分隔)"
TW_ALL,Taiwan,全台灣老饕通訊 (Taiwan-All),特級,全島飲食文化,"台灣, 全台, 寶島, 風土, 500盤, 500碗, 500甜, 慢食, 客家, 總鋪師"
TW_Taipei,Taiwan,城中大稻埕 (Datong),二級,傳統飲食聚落,"大稻埕, 迪化街, 慈聖宮, 延三夜市, 寧夏夜市, 永樂市場, 涼州街, 歸綏街, 保安街"
TW_Taipei,Taiwan,艋舺萬華 (Wanhua),二級,傳統飲食聚落,"艋舺, 萬華, 華西街, 龍山寺, 東三水街, 新富市場, 南機場, 廣州街, 西園路"
TW_Taipei,Taiwan,城南東門 (Daan-Zhongzheng),二級,老派文教商圈,"東門市場, 永康街, 溫州街, 潮州街, 金華街, 牯嶺街, 南昌路, 信義路三段"
TW_Taipei,Taiwan,中山雙連 (Zhongshan),一級,餐飲重鎮區,"中山區, 赤峰街, 條通, 雙連, 行天宮, 晴光市場, 濱江市場, 雙連市場"
TW_Taipei,Taiwan,城東松山 (Songshan),二級,常民生活商圈,"松山, 民生社區, 富錦街, 饒河夜市, 南京三民, 中崙市場"
TW_Taipei,Taiwan,士林北投 (Shilin-Beitou),二級,風土老街區,"士林, 士林夜市, 天母, 北投, 磺溪, 石牌, 北投市場"
TW_Taipei,Taiwan,台北核心 (Taipei),超一級,首都生活圈,"台北, 台北市, 大安, 信義, 中山, 大同, 萬華, 松山, 士林, 北投, 大稻埕, 艋舺, 永康街, 晴光"
TW_Taipei,Taiwan,新北基隆 (NewTaipei-Keelung),一級,衛星老街區,"新北, 三重, 蘆洲, 板橋, 中和, 永和, 新莊, 淡水, 基隆, 基隆廟口, 仁愛市場, 崁仔頂"
TW_North,Taiwan,桃竹苗 (Taoyuan-Hsinchu-Miaoli),二級,客庄與風土聚落,"桃園, 中壢, 新竹, 竹北, 苗栗, 南庄, 城隍廟, 東門市場, 龍潭, 大溪"
TW_Central,Taiwan,台中都會 (Taichung),一級,核心生活圈,"台中, 台中市, 西區, 中區, 第二市場, 第五市場, 審計新村, 一中, 逢甲, 向上市場"
TW_Central,Taiwan,彰投雲 (Changhua-Nantou-Yunlin),二級,傳統小吃重鎮,"彰化, 鹿港, 員林, 南投, 草屯, 埔里, 雲林, 斗六, 北港, 虎尾, 朝天宮"
TW_South,Taiwan,台南古都 (Tainan),一級,小吃重鎮,"台南, 台南市, 中西區, 安平, 永樂市場, 水仙宮, 國華街, 保安路, 鴨母寮, 西市場, 鴨母寮市場"
TW_South,Taiwan,高屏都會 (Kaohsiung-Pingtung),一級,港都與風土生活圈,"高雄, 鹽埕, 鼓山, 左營, 旗津, 三民, 屏東, 潮州, 東港, 恆春, 華僑市場"
TW_East_Island,Taiwan,宜花東離島 (Yilan-Hualien-Taitung),二級,山海風土線,"宜蘭, 羅東, 礁溪, 頭城, 南澳, 花蓮, 玉里, 台東, 成功, 池上, 澎湖, 金門, 馬祖"
